Player ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,36,5,13.5,1.6,4.0,0.403,0.8,2.4,0.318,0.8,1.6,0.536,0.5,0.6,0.9,0.636,1.1,2.2,3.3,0.4,0.6,0.4,0.6,1.8,4.6
29,19,0,11.8,1.2,2.8,0.407,0.5,1.7,0.303,0.6,1.1,0.571,0.5,1.3,1.8,0.735,0.7,1.1,1.8,0.3,0.2,0.1,0.7,1.6,4.2
30,36,18,18.8,2.1,5.0,0.413,0.6,2.1,0.276,1.5,2.9,0.515,0.472,0.6,1.0,0.611,1.5,1.9,3.5,0.4,0.4,0.8,0.4,2.4,5.3
31,4,0,1.8,0.8,1.0,0.75,0.3,0.3,1.0,0.5,0.8,0.667,0.875,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.3,2.5
32,9,0,15.4,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.8,1.2,0.636,1.6,2.8,4.3,0.6,0.3,0.6,0.4,1.8,1.4
33,29,27,25.2,2.0,5.4,0.363,0.8,3.2,0.255,1.1,2.2,0.524,0.439,0.4,1.0,0.379,1.8,3.6,5.3,0.7,1.5,0.3,0.6,2.8,5.1
34,36,1,17.2,2.2,6.2,0.351,1.4,4.3,0.329,0.8,1.9,0.403,0.466,0.8,1.0,0.811,0.2,1.4,1.6,1.2,0.7,0.1,0.8,1.3,6.6
35,32,0,10.4,1.5,3.5,0.441,0.3,0.9,0.367,1.2,2.5,0.469,0.491,0.8,1.1,0.686,0.2,0.8,1.0,1.3,0.6,0.0,0.8,0.5,4.2
36,34,33,29.9,4.1,9.7,0.424,0.6,2.1,0.292,3.5,7.6,0.461,0.456,3.7,5.3,0.698,1.3,5.7,7.1,2.5,1.1,0.3,1.5,2.0,12.5
37,31,4,13.7,1.6,4.1,0.386,1.4,3.7,0.377,0.2,0.4,0.462,0.555,0.1,0.1,0.667,0.2,1.4,1.6,0.4,0.3,0.1,0.3,0.9,4.6
38,35,21,14.3,0.8,1.5,0.509,0.0,0.0,,0.8,1.5,0.509,0.509,0.4,0.9,0.424,1.6,2.2,3.8,0.1,0.3,0.6,0.8,2.5,1.9
39,11,0,1.4,0.1,0.4,0.25,0.0,0.1,0.0,0.1,0.3,0.333,0.25,0.1,0.2,0.5,0.2,0.1,0.3,0.0,0.1,0.0,0.2,0.4,0.3
40,37,28,18.2,2.4,5.4,0.45,1.4,3.3,0.413,1.1,2.1,0.506,0.575,1.0,1.1,0.902,0.4,0.9,1.4,1.4,0.5,0.1,0.7,0.9,7.2
41,37,37,34.1,5.8,14.5,0.398,2.6,7.8,0.34,3.1,6.8,0.464,0.489,3.0,3.4,0.889,0.4,4.1,4.4,3.4,1.2,0.3,1.9,1.2,17.2
42,37,5,19.3,2.2,4.8,0.46,1.1,2.8,0.371,1.1,1.9,0.592,0.571,1.1,1.6,0.695,0.9,3.2,4.1,1.0,0.9,1.0,1.0,2.3,6.5
43,22,0,5.0,0.5,0.8,0.667,0.2,0.5,0.5,0.3,0.4,0.875,0.806,0.3,0.4,0.875,0.0,0.3,0.3,1.0,0.3,0.0,0.3,0.5,1.6
44,8,0,3.0,0.6,0.6,1.0,0.0,0.0,,0.6,0.6,1.0,1.0,0.0,0.4,0.0,0.1,1.1,1.3,0.1,0.3,0.1,0.3,0.5,1.3
45,12,0,1.8,0.3,0.5,0.667,0.2,0.3,0.667,0.2,0.3,0.667,0.833,0.0,0.0,,0.1,0.5,0.6,0.0,0.2,0.1,0.1,0.1,0.8
46,37,5,20.8,3.5,5.9,0.592,0.4,1.3,0.327,3.1,4.6,0.669,0.628,1.9,2.8,0.686,2.2,2.8,5.0,1.3,0.7,1.1,1.1,2.7,9.4
47,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
48,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
49,37,37,34.1,4.3,9.1,0.467,0.7,2.1,0.321,3.6,7.0,0.512,0.504,2.8,3.4,0.827,0.6,2.8,3.4,3.7,1.8,0.1,1.9,2.1,12.1
