Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Chris Moore,5,SR,F,6-6,240.0,"West Memphis, AR",West Memphis HS,Auburn
JP Pegues,1,SR,G,6-1,165.0,"Nashville, TN",Hillsboro HS,Auburn
Blake Muschalek,21,SO,G,6-3,178.0,"Dallas, TX",Trinity Christian Academy (TX),Auburn
Presley Patterson,14,JR,G,5-11,175.0,"Knoxville, TN",Knoxville Catholic (TN),Auburn
CJ Williams,7,JR,G,6-1,155.0,"Fayetteville, AR",Fayetteville (AR),Auburn
Reed Trapp,22,JR,G,6-6,188.0,"Muscle Shoals, AL",Covenant Christian School (AL),Auburn
Richie Saunders,15,JR,G,6-5,200.0,"Riverton, UT",Riverton (UT); Wasatch Academy (UT),BYU
Egor Demin,3,FR,G,6-9,190.0,"Moscow, Russia",Real Madrid (Spain),BYU
Trevin Knell,21,SR,G,6-5,190.0,"Woods Cross, UT",Woods Cross HS,BYU
Fousseyni Traore,45,SR,F,6-6,254.0,"Bamako, Mali",Wasatch Academy,BYU
Dawson Baker,25,JR,G,6-3,180.0,"Coto de Caza, CA",Capistrano Valley HS,BYU
Keba Keita,13,JR,C,6-7,230.0,"Bamako, Mali",American Heritage (UT); Wasatch Academy (UT),BYU
Kanon Catchings,6,FR,F,6-9,190.0,"Brownsburg, IN",Brownsburg (IN); Overtime Elite Cold Hearts (GA),BYU
Dallin Hall,30,JR,G,6-4,200.0,"Plain City, UT",Fremont (UT),BYU
Mawot Mag,0,SR,F,6-7,215.0,"Melbourne, Australia",Prolific Prep,BYU
Mihailo Boskovic,5,JR,F,6-10,,"Uzice, Serbia",KK Igokea (Bosnia),BYU
Trey Stewart,1,SR,G,6-2,189.0,"American Fork, UT",American Fork HS,BYU
Elijah Crawford,2,FR,G,6-2,180.0,"Augusta, GA",Augusta Christian (GA); Brewster Academy (NH),BYU
Brody Kozlowski,4,FR,F,6-8,215.0,"Draper, UT",Corner Canyon (UT),BYU
Jared McGregor,51,JR,G,6-3,180.0,"Saratoga Springs, UT",Westlake (UT),BYU
Max Triplett,20,JR,F,6-9,210.0,"Huntsville, UT",Weber (UT),BYU
Townsend Tripple,12,SO,F,6-8,212.0,"Meridian, ID",Rocky Mountain (ID),BYU
Norchad Omier,15,SR,F,6-7,230.0,"Bluefields, Nicaragua",Miami Prep,Baylor
V.J. Edgecombe,7,FR,G,6-5,180.0,"Bimini, Bahamas",Long Island Lutheran (NY),Baylor
Robert Wright III,1,FR,G,6-1,183.0,"Wilmington, DE",Neumann-Goretti (PA); Montverde Academy (FL),Baylor
Jayden Nunn,2,SR,G,6-4,190.0,"Flint, MI",Dream City Christian HS (Ariz.),Baylor
Jeremy Roach,3,SR,G,6-1,175.0,"Leesburg, VA",Paul VI HS,Baylor
Jalen Celestine,32,SR,G,6-6,185.0,"Glen Head, NY",Long Island Lutheran HS,Baylor
Langston Love,13,JR,G,6-5,210.0,"Universal City, TX",Montverde Academy (FL),Baylor
Josh Ojianwuna,17,JR,F,6-10,230.0,"Asaba, Nigeria",NBA Academy Africa; NBA Global Academy,Baylor
Jason Asemota,5,FR,F,6-9,200.0,"Lynn, MA",Dexter Southfield (MA); Hillcrest Prep (AZ),Baylor
Omar Adegbola,25,FR,G,6-4,205.0,"Houston, TX",West Anchorage (AK); Montverde Academy (FL),Baylor
Marino Dubravcic,22,FR,F,6-10,228.0,"Split, Croatia",KK Podstrana (Croatia),Baylor
Davidson Hubbard,21,SR,F,6-5,215.0,"Charlotte, NC",Ardrey Kell (NC),Baylor
Rafael Pinzon,24,SR,G,6-6,175.0,"Arecibo, Puerto Rico",Long Island Lutheran HS,Bryant
Earl Timberlake,0,SR,G,6-6,215.0,"Washington, DC",DeMatha Catholic HS,Bryant
Barry Evans,5,JR,F,6-8,205.0,"Baltimore, MD",Oakland Mills (MD); Baltimore Poly (MD); Putnam Science (CT),Bryant
Connor Withers,7,SR,F,6-7,195.0,"Manassas, VA",Osbourn HS,Bryant
Keyshawn Mitchell,22,SO,F,6-11,215.0,"Brooklyn, NY",Capital Prep (CT); First Love Christian Academy (PA),Bryant
Kvonn Cramer,1,SR,F,6-6,205.0,"Wilmington, DE",Mount Pleasant HS,Bryant
Jakai Robinson,13,JR,G,6-4,200.0,"Ossining, NY",Rock Creek Christian Academy,Bryant
Kam Farris,11,SR,G,6-3,165.0,"Burlington, VT",Rice Memorial HS,Bryant
Aaron Davis,21,SO,G,6-7,215.0,"Bay Shore, NY",Bay Shore (NY); St. Benedict's Prep (NJ); First Love Christian Academy (PA),Bryant
Josh Ozabor,50,SR,G,6-5,220.0,"Johannesburg, South Africa",IMG Academy,Bryant
Frankie Vassalluzzo,14,FR,G,6-0,175.0,"Boca Raton, FL",Pine Crest School (FL),Bryant
Jayden Brown,41,FR,G,5-11,160.0,"Teaneck, NJ",Immaculate Conception (NJ),Bryant
Michael Amador,51,FR,G,6-1,180.0,"Long Valley, NJ",West Morris Central (NJ),Bryant
Devean Williams,4,JR,G,6-3,180.0,"Los Angeles, CA",Narbonne (CA); TMG Prep (CA),Bryant
Chase Hunter,1,SR,G,6-3,204.0,"Atlanta, GA",Westlake HS,Clemson
Ian Schieffelin,4,SR,F,6-8,225.0,"Loganville, GA",Grayson HS,Clemson
Jaeden Zackery,11,SR,G,6-2,200.0,"Salem, WI",Westosha Central (WI),Clemson
Viktor Lakhin,0,SR,F,6-11,228.0,"Anapa, Russia",CSKA HS,Clemson
Chauncey Wiggins,7,JR,F,6-10,205.0,"Grayson, GA",Grayson (GA),Clemson
Dillon Hunter,2,JR,G,6-3.5,193.0,"Atlanta, GA",Westlake (GA); Ypsi Prep (MI); Sunrise Christian (KS),Clemson
Jake Heidbreder,3,JR,G,6-5,180.0,"Floyd Knobs, IN",Floyd Central HS,Clemson
Del Jones,10,FR,G,6-2,187.0,"Landover, MD",Huntington Prep (WV); AZ Compass Prep (AZ),Clemson
Myles Foster,6,SR,F,6-7,230.0,"Brooklyn, NY",Brooks HS,Clemson
Christian Reeves,14,SO,C,7-1,245.0,"Charlotte, NC",Oak Hill Academy (VA),Clemson
Asa Thomas,5,FR,F,6-8,185.0,"Lake Forest, IL",Lake Forest (IL),Clemson
Matt Kelly,20,SR,G,6-1,172.0,"Charleston, SC",Porter-Gaud (SC),Clemson
Daniel Nauseef,32,SR,F,6-7,215.0,"Dayton, OH",Chaminade Julienne Catholic HS,Clemson
Andrew Latiff,13,SR,G,6-4,184.0,"Clemson, SC",Daniel (SC),Clemson
Jackson Roberts,35,FR,C,6-11,247.0,"Tampa, FL",IMG Academy (FL),Clemson
Nique Clifford,10,SR,G,6-5,175.0,"Colorado Springs, CO",The Vanguard School,Colorado State
Jalen Lake,15,SR,G,6-4,185.0,"Waxahachie, TX",Waxahachie HS,Colorado State
Kyan Evans,0,SO,G,6-2,175.0,"Kansas City, MO",Staley (MO),Colorado State
Jaylen Crocker-Johnson,8,SO,F,6-8,230.0,"San Antonio, TX",Warren (TX),Colorado State
Rashaan Mbemba,21,SO,G,6-7,250.0,"Vienna, Austria",SKN St. PÃ¶lten (Austria),Colorado State
Keshawn Williams,11,SR,G,6-3,175.0,"Chicago, IL",Bloom HS,Colorado State
Bowen Born,13,JR,G,5-11,170.0,"Norwalk, IA",Norwalk HS,Colorado State
Kyle Jorgensen,35,FR,F,6-9,225.0,"Minneapolis, MN",Washburn (MN),Colorado State
Ethan Morton,25,SR,G,6-6,215.0,"Butler, PA",Butler Area HS,Colorado State
Nikola Djapa,23,SO,F,7-0,230.0,"Belgrade, Serbia",Hoosac School (NY),Colorado State
Jaden Steppe,44,FR,F,6-8,220.0,"Tualatin, OR",Tualatin (OR),Colorado State
Luke Murphy,14,SO,G,6-2,170.0,"Calabasas, CA",Calabasas (CA); Southern California Academy (CA),Colorado State
Ryan Kalkbrenner,11,SR,C,7-0,235.0,"St. Louis, MO",Trinity Catholic HS,Creighton
Steven Ashworth,1,SR,G,6-1,170.0,"Alpine, UT",Lone Peak HS,Creighton
Jamiya Neal,5,SR,F,6-6,185.0,"Toledo, OH",Pheonix Hillcrest Prep,Creighton
Jackson McAndrew,23,FR,F,6-10,220.0,"Wayzata, MN",Wayzata (MN),Creighton
Jasen Green,0,SO,F,6-8,225.0,"Omaha, NE",Millard North (NE),Creighton
Isaac Traudt,41,SO,F,6-10,229.0,"Grand Island, NE",Grand Island (NE),Creighton
Pop Isaacs,2,JR,G,6-2,170.0,"Las Vegas, NV",Wasatch Academy (UT); Coronado (NV),Creighton
Fedor Å½ugiÄ,7,,G,6-6,215.0,"Podgorica, Montenegro",BuduÄnost (Montenegro),Creighton
Fredrick King,33,JR,C,6-10,234.0,"Mangrove Cay, Bahamas",NBA Academy Latin America,Creighton
Mason Miller,13,JR,F,6-8,187.0,"Germantown, TN",Houston HS,Creighton
Ty Davis,9,FR,G,6-4,180.0,"Mountain Brook, AL",Mountain Brook (AL),Creighton
Sterling Knox,4,FR,G,6-4,200.0,"Las Vegas, NV",Durango (NV); Red Rock Academy (NV),Creighton
Shane Thomas,12,FR,G,6-3,200.0,"Las Vegas, NV",Centennial (NV); Durango (NV); Red Rock Academy (NV),Creighton
Josh Townley-Thomas,32,SO,F,6-10,220.0,"Omaha, NE",Creighton Prep (NE),Creighton
Sami Osmani,14,SR,G,6-4,205.0,"Oak Lawn, IL",Oak Lawn Community HS,Creighton
Bennett Stirtz,14,JR,G,6-4,180.0,"Liberty, MO",Liberty (MO),Drake
Daniel Abreu,54,SR,F,6-6,220.0,"Springfield, MO",Willard (MO),Drake
Tavion Banks,6,JR,G,6-7,200.0,"Kansas City, MO",Minnesota Prep (MN),Drake
Mitch Mascari,22,SR,G,6-5,200.0,"Geneva, IL",Geneva (IL),Drake
Cam Manyawu,3,SO,F,6-9,228.0,"Kansas City, MO",Staley (MO),Drake
Isaia Howard,23,FR,G,6-5,200.0,"Plattsburg, MO",Plattsburg (MO),Drake
Isaiah Jackson,4,SR,G,6-3,180.0,"Independence, MO",William Chrisman (MO),Drake
Kael Combs,11,SO,G,6-4,190.0,"Nixa, MO",Nixa (MO),Drake
Nate Ferguson,24,SR,F,6-8,210.0,"Lemont, IL",Lemont HS,Drake
Andrew Alia,21,SO,G,6-2,190.0,"Kenosha, WI",St. Joseph Catholic (WI),Drake
Cooper Flagg,2,FR,F,6-9,205.0,"Newport, ME",Nokomis Regional (ME); Montverde Academy (FL),Duke
Kon Knueppel,7,FR,G,6-7,217.0,"Milwaukee, WI",Wisconsin Lutheran (WI),Duke
Tyrese Proctor,5,JR,G,6-5,175.0,"Sydney, Australia",NBA Global Academy,Duke
Sion James,14,SR,G,6-5,185.0,"Buford, GA",Lanier HS,Duke
Khaman Maluach,9,FR,C,7-2,250.0,"Rumbek, South Sudan",NBA Academy Africa (Senegal),Duke
Isaiah Evans,3,FR,G,6-6,175.0,"Fayetteville, NC",North Mecklenburg (NC),Duke
Caleb Foster,1,SO,G,6-5,197.0,"Sherman Oaks, CA","Oak Hill Academy (VA); Notre Dame (Sherman Oaks, CA)",Duke
Mason Gillis,18,SR,F,6-6,230.0,"New Castle, IN",New Castle (IN),Duke
Patrick Ngongba,21,FR,C,6-11,250.0,"Manassas, VA",St. Paul VI (VA),Duke
Maliq Brown,6,JR,F,6-8,213.0,"Culpeper, VA",Blue Ridge (VA),Duke
Darren Harris,8,FR,G,6-6,203.0,"Herndon, VA",St. Paul VI (VA),Duke
Spencer Hubbard,55,SR,G,5-8,160.0,"Los Angeles, CA",Harvard Westlake HS,Duke
Neal Begovich,20,SR,F,6-9,225.0,"San Francisco, CA",St. Ignatius College Prep,Duke
Cameron Sheffield,13,JR,G,6-6,180.0,"ALpharetta, GA",Chattahoochee HS,Duke
Stanley Borden,52,SR,C,7-0,240.0,"Istanbul, TÃ¼rkiye",Istanbul Int'l Community School,Duke
Walter Clayton Jr.,1,SR,G,6-2,195.0,"Lake Wales, FL",Bartow HS,Florida
Alijah Martin,15,SR,G,6-2,185.0,"Summit, MS",North Pike HS,Florida
Will Richard,5,SR,G,6-5,195.0,"Fairburn, GA",Woodward Academy,Florida
Alex Condon,21,SO,F,6-11,230.0,"Perth, Australia",BA Centre of Excellence (Australia),Florida
Thomas Haugh,10,SO,F,6-9,210.0,"New Oxford, PA",Perkiomen School (PA),Florida
Denzel Aberdeen,11,JR,G,6-5,189.0,"Orlando, FL",Dr. Phillips (FL),Florida
Rueben Chinyelu,9,SO,C,6-11,245.0,"Enugu Agidi, Nigeria",NBA Academy Africa (Senegal),Florida
Sam Alexis,4,JR,F,6-9,190.0,"Apopka, FL",Apopka (FL),Florida
Urban Klavzar,7,FR,G,6-1,195.0,"Domzale, Slovenia",CD Estela Cantabria (Spain),Florida
Micah Handlogten,3,JR,C,7-1,212.0,"Huntersville, NC",Southlake Christian (NC),Florida
Isaiah Brown,20,FR,G,6-4,195.0,"Orlando, FL",Orlando Christian (FL),Florida
Bennett Andersen,22,SR,G,6-2,190.0,"Tampa, FL",Jesuit (FL),Florida
Kajus Kublickas,30,SO,G,6-2,171.0,"Kaunas, Lithuania",Å½algiris Kaunas (Lithuania),Florida
Cooper Josefsberg,33,SO,G,6-4,195.0,"Miami, FL",Riviera Prep (FL),Florida
Viktor Mikic,12,FR,C,6-11,240.0,"Belgrade, Serbia",Hamilton Heights (TN),Florida
Kevin Pazmino,2,SO,G,6-4,195.0,"Weston, FL",Cypress Bay (FL),Florida
Asa Newell,14,FR,F,6-11,220.0,"Destin, FL",Choctawhatchee (FL); Montverde Academy (FL),Georgia
Silas Demary Jr.,5,SO,G,6-5,180.0,"Raleigh, NC",Millbrook (NC); Liberty Heights (NC); Combine Academy (NC),Georgia
Blue Cain,0,SO,G,6-5,190.0,"Knoxville, TN",Knoxville Catholic (TN); IMG Academy (FL),Georgia
Dakota Leffew,1,SR,G,6-5,185.0,"Hampton, GA",Jonesboro HS,Georgia
Tyrin Lawrence,7,SR,G,6-4,190.0,"Monticello, GA",Morgan County HS,Georgia
RJ Godfrey,10,JR,F,6-7,225.0,"Suwanee, GA",North Gwinnett (GA),Georgia
Somto Cyril,6,FR,C,6-11,260.0,"Enugu, Nigeria",Hamilton Heights Christian (TN); Overtime Elite (GA),Georgia
De'Shayne Montgomery,2,SO,G,6-4,190.0,"Ft. Lauderdale, FL",Hargrave Military Academy (VA),Georgia
Dylan James,13,SO,F,6-9,200.0,"Winter Haven, FL",Winter Haven (FL),Georgia
Justin Abson,25,JR,F,6-9,235.0,"Pompano Beach, FL",North Broward Prep (FL),Georgia
Savo Drezgic,3,FR,G,6-4,200.0,"Belgrade, Serbia",Partizan (Serbia); DME Academy (FL),Georgia
Jaden Newell,24,SO,F,6-8,220.0,"Destin, FL",Choctawhatchee (FL),Georgia
Brandon Klatsky,22,SO,G,6-2,165.0,"Colts Neck, NJ",Ranney School (NJ),Georgia
Graham Ike,13,SR,F,6-9,245.0,"Aurora, CO",Overland HS,Gonzaga
Khalif Battle,99,SR,G,6-5,175.0,"Edison, NJ",Trenton Catholic (NJ),Gonzaga
Braden Huff,34,SO,F,6-10,235.0,"Glen Ellyn, IL",Glenbard West (IL),Gonzaga
Nolan Hickman,11,SR,G,6-2,185.0,"Seattle, WA",Wasatch Academy,Gonzaga
Ryan Nembhard,0,SR,G,6-0,167.0,"Aurora, Canada",Montverde Academy (Fla.),Gonzaga
Ben Gregg,33,SR,F,6-10,225.0,"Clackamas, OR",Clackamas HS,Gonzaga
Michael Ajayi,1,SR,G,6-7,220.0,"Kent, WA",Kentwood (WA),Gonzaga
Dusty Stromer,4,SO,G,6-6,192.0,"Sherman Oaks, CA","Notre Dame (Sherman Oaks, CA)",Gonzaga
Emmanuel Innocenti,5,SO,F,6-5,198.0,"Ranzanico, Italy",Stella Azzurra Roma (Italy),Gonzaga
Ismaila Diagne,24,FR,C,7-0,237.0,"Nguekhokhe, Senegal",Real Madrid (Spain),Gonzaga
Jun Seok Yeo,22,JR,F,6-8,215.0,"Seoul, South Korea",NBA Global Academy (Australia); Yongsan (South Korea),Gonzaga
Joe Few,15,JR,G,6-0,160.0,"Spokane, WA",Gonzaga Prep,Gonzaga
Joaquim ArauzMoore,10,SO,G,6-1,170.0,"Ross, CA",The Branson School (CA),Gonzaga
Noah Haaland,35,JR,F,6-9,245.0,"Rathdrum, ID",Lakeland (ID),Gonzaga
JaKobe Coles,21,SR,F,6-7,225.0,"Denton, TX",Guyer HS,Grand Canyon
Rayshon Harrison,0,SR,G,6-4,180.0,"Greenville, SC",Legacy Early College (SC),Grand Canyon
Tyon Grant-Foster,7,SR,G,6-7,210.0,"Kansas City, KS",Schlagle (KS),Grand Canyon
Duke Brennan,24,JR,F,6-10,235.0,"Gilbert, AZ",Perry (AZ); Hillcrest Prep (AZ),Grand Canyon
Makaih Williams,2,SO,G,6-1,185.0,"Long Beach, CA",Capistrano Valley Christian (CA),Grand Canyon
Lok Wur,5,SR,F,6-8,200.0,"Papillion, NE",Papillion La Vista South HS,Grand Canyon
Collin Moore,8,SR,G,6-3,205.0,"North Little Rock, AR",Sunrise Christian Academy,Grand Canyon
Caleb Shaw,11,JR,G,6-5,195.0,"Phoenix, AZ",Valley Christian (AZ),Grand Canyon
Styles Phipps,1,FR,G,6-2,190.0,"Phoenix, AZ",St. Mary's (AZ),Grand Canyon
Austin Maurer,34,FR,C,7-0,225.0,"Medford, OR",Cascade Christian (OR),Grand Canyon
Sammie Yeanay,23,FR,F,6-8,240.0,"Gainesville, FL",North Marion (FL); The Rock School (FL); AZ Compass Prep (AZ),Grand Canyon
Traivar Jackson,9,SR,F,6-6,210.0,"Anchorage, AK",West Anchorage (AK),Grand Canyon
Jason Amador,12,SR,G,6-0,195.0,"Parker, AZ",Parker (AZ),Grand Canyon
Kezza Giffa,1,SR,G,6-2,165.0,"Paris, France",Levallois Metropolitans (France),High Point
Kimani Hamilton,5,JR,F,6-7,215.0,"Clinton, MS",Clinton (MS),High Point
D'maurian Williams,4,SR,G,6-5,195.0,"Phoenix, AZ",Putnam Science Academy,High Point
Bobby Pettiford,55,SR,G,6-1,190.0,"Durham, NC",South Granville HS,High Point
Chase Johnston,2,SR,G,6-2,185.0,"Boca Raton, FL",Westminster Academy,High Point
Abdoulaye Thiam,11,SR,G,6-4,180.0,"Orlando, FL",Dr. Phillips (FL),High Point
Juslin Bodo Bodo,21,SO,F,7-0,240.0,"YaoundÃ©, Cameroon",Southern California Academy (CA),High Point
Trae Benham,3,SR,G,6-3,205.0,"Concord, NC",Concord Academy,High Point
Simon Hildebrandt,10,JR,F,6-9,238.0,"Winnipeg, Canada",Mennonite Brethren Collegiate (MB); Winnipeg Sea Bears (MB),High Point
Terry Anderson,0,SR,F,6-6,190.0,"Deer Park, TX",Deer Park (TX),High Point
Josh Ibukunoluwa,19,FR,F,6-10,219.0,"Perth, Australia",Willetton Tigers (Australia); Orangeville Prep (ON),High Point
Titas Sargiunas,7,SO,G,6-4,180.0,"Kaunas, Lithuania",Å½algiris Kaunas (Lithuania),High Point
Braden Hausen,15,FR,F,6-7,213.0,"Amarillo, TX",Amarillo (TX),High Point
Liam Carney,16,JR,G,6-6,205.0,"Minneapolis, MN",Providence Academy (MN),High Point
Ivan Matlekovic,40,FR,F,7-0,245.0,"Sisak, Croatia",HAKK Mladost (Croatia),High Point
Andrew Sineway,22,SO,G,6-6,193.0,"Boynton Beach, FL",Saint Andrew's School (FL),High Point
David Fonville,24,FR,G,6-3,198.0,"Jacksonville, FL",Providence School (FL),High Point
Birgir Irving,14,FR,F,6-7,215.0,"GarÃ°abÃ¦r, Iceland",Rothesay Netherwood School (NB),High Point
LJ Cryer,4,SR,G,6-1,185.0,"Katy, TX",Morton Ranch HS,Houston
Emanuel Sharp,21,JR,G,6-3,205.0,"Tampa, FL",Bishop McLaughlin (FL),Houston
Milos Uzan,7,JR,G,6-4,183.0,"Las Vegas, NV",Desert Pines (NV); Dream City Christian (AZ); Prolific Prep (CA),Houston
J'Wan Roberts,13,SR,F,6-7,220.0,"St. Thomas, U.S. Virgin Islands",Shoemaker (TX),Houston
Terrance Arceneaux,23,JR,G,6-5,195.0,"Beaumont, TX",Beaumont United (TX),Houston
Mylik Wilson,8,SR,G,6-3,175.0,"Rayville, LA",Rayville (LA),Houston
Joseph Tugler,11,SO,F,6-7,230.0,"Houston, TX",Cypress Falls (TX),Houston
Ja'Vier Francis,5,SR,F,6-8,225.0,"New Orleans, LA",Montverde Academy (Fla.),Houston
Mercy Miller,25,FR,G,6-4,200.0,"Sherman Oaks, CA","Minnehaha Academy (MN); Notre Dame (Sherman Oaks, CA)",Houston
Kordelius Jefferson,0,FR,G,6-1,200.0,"Arlington, TX",James Martin (TX),Houston
Ramon Walker Jr.,3,SR,G,6-4,210.0,"Pearland, TX",Shadow Creek HS,Houston
Cedric Lath,2,SO,C,6-9,265.0,"Abidjan, CÃ´te d'Ivoire",Liberty (NV); Balboa School (CA),Houston
Kasparas Jakucionis,32,FR,G,6-6,205.0,"Vilnius, Lithuania",FC Barcelona (Spain),Illinois
Will Riley,7,FR,F,6-8,195.0,"Kitchener, Canada",The Phelps School (PA),Illinois
Kylan Boswell,4,JR,G,6-2,195.0,"Champaign, IL",Centennial (CA); AZ Compass Prep (AZ),Illinois
Tomislav Ivisic,13,FR,C,7-1,255.0,"Vodice, Croatia",SC Derby (Montenegro),Illinois
Tre White,22,JR,G,6-7,210.0,"Dallas, TX",Little Elm (TX); Milwaukee Washington (WI); Prolific Prep (CA),Illinois
Ben Humrichous,3,SR,F,6-9,220.0,"Tipton, IN",Tipton (IN),Illinois
Morez Johnson Jr.,21,FR,F,6-9,255.0,"Riverdale, IL",Thornton Township (IL),Illinois
Dra Gibbs-Lawhorn,2,SO,G,6-1,185.0,"Lafayette, IN",McCutcheon (IN); Real Salt Lake Academy (UT); Montverde Academy (FL); Word of God Christian Academy (NC),Illinois
Jake Davis,15,SO,F,6-6,210.0,"McCordsville, IN","Cathedral (Indianapolis, IN)",Illinois
Carey Booth,0,SO,F,6-10,203.0,"Englewood, CO",Cherry Creek (CO); Brewster Academy (NH),Illinois
Keaton Kutcher,24,JR,G,6-2,165.0,"Mount Vernon, IA",Mount Vernon HS,Illinois
AJ Redd,5,JR,G,6-3,170.0,"Chicago, IL",St. Ignatius (IL),Illinois
Curtis Jones,5,SR,G,6-5,165.0,"Minneapolis, MN",Cretin-Derham Hall (MN),Iowa State
Joshua Jefferson,2,JR,F,6-8,220.0,"Las Vegas, NV",Liberty (NV),Iowa State
Keshon Gilbert,10,SR,G,6-4,180.0,"Las Vegas, NV",Vashon HS,Iowa State
Tamin Lipsey,3,JR,G,6-1,200.0,"Ames, IA",Ames (IA),Iowa State
Milan Momcilovic,22,SO,F,6-8,220.0,"Pewaukee, WI",Pewaukee (WI),Iowa State
Dishon Jackson,1,SR,C,6-10,235.0,"Vallejo, CA",St. Patrick-St. Vincent HS,Iowa State
Nate Heise,0,SR,G,6-4,191.0,"Lake City, MN",Lincoln HS,Iowa State
Brandton Chatfield,33,SR,F,6-10,238.0,"Clarkston, WA",Clarkston HS,Iowa State
Demarion Watson,4,JR,G,6-6,197.0,"Maple Grove, MN",Totino-Grace (MN),Iowa State
Nojus Indrusaitis,15,FR,G,6-5,200.0,"Chicago, IL",St. Rita (IL); Brewster Academy (NH),Iowa State
Cade Kelderman,13,SO,G,6-1,180.0,"Waukee, IA",Waukee Northwest (IA),Iowa State
Kayden Fish,11,FR,F,6-6,250.0,"Kansas City, MO",Staley (MO),Iowa State
JT Rock,30,FR,C,7-1,255.0,"Sioux Falls, SD",Sioux Falls Lincoln (SD),Iowa State
Conrad Hawley,23,SR,F,6-5,209.0,"Raymore, MO",Raymore-Peculiar (MO),Iowa State
Hunter Dickinson,1,SR,C,7-1,255.0,"Alexandria, VA",DeMatha Catholic HS,Kansas
Zeke Mayo,5,SR,G,6-3,179.0,"Lawrence, KS",Lawrence HS,Kansas
Dajuan Harris Jr.,3,SR,G,6-1,160.0,"Columbia, MO",Rock Bridge HS,Kansas
KJ Adams Jr.,24,SR,F,6-7,225.0,"Austin, TX",Westlake HS,Kansas
Rylan Griffen,6,JR,G,6-5,180.0,"Dallas, TX",Richardson (TX),Kansas
AJ Storr,2,JR,G,6-6,200.0,"Rockford, IL",Kankakee (IL); Bishop Gorman (NV); AZ Compass Prep (AZ); IMG Academy (FL),Kansas
Flory Bidunga,40,FR,F,6-9,220.0,"Kinshasa, Democratic Republic of the Congo",Kokomo (IN),Kansas
David Coit,8,SR,G,5-11,175.0,"Columbus, NJ",Scotland Campus (PA),Kansas
Shakeel Moore,0,SR,G,6-1,180.0,"Greensboro, NC",Moravian Prep,Kansas
Rakease Passmore,4,FR,G,6-5,185.0,"Palatka, FL",A.C. Reynolds (NC); Combine Academy (NC),Kansas
Zach Clemence,41,SR,F,6-10,225.0,"San Antonio, TX",Sunrise Christian Academy,Kansas
Wilder Evers,12,JR,G,6-3,190.0,"Birmingham, AL",Oak Mountain (AL),Kansas
Dillon Wilhite,22,JR,F,6-9,240.0,"San Diego, CA",Cathedral Catholic HS,Kansas
Justin Cross,25,SR,G,6-8,200.0,"Oak Park, IL",Oak Park River Forest (IL),Kansas
Patrick Cassidy,14,SR,G,6-1,185.0,"Columbus, KS",Columbus Unified (KS),Kansas
Will Thengvall,15,FR,G,6-3,185.0,"Wichita, KS",Kapaun Mount Carmel Catholic (KS),Kansas
Otega Oweh,0,JR,G,6-5,210.0,"Somerset, NJ",Blair Academy (NJ),Kentucky
Koby Brea,4,SR,G,6-6,174.0,"Washington Heights, NY",Monsignor Scanlan HS,Kentucky
Amari Williams,22,SR,F,6-10,227.0,"Nottingham, United Kingdom",Myerscough College (England),Kentucky
Andrew Carr,7,SR,F,6-9,210.0,"West Chester, PA",West Chester East HS,Kentucky
Jaxson Robinson,2,SR,G,6-7,193.0,"Ada, OK",Ada HS,Kentucky
Lamont Butler,1,SR,G,6-2,200.0,"Moreno Valley, CA",Riverside Poly HS,Kentucky
Brandon Garrison,10,SO,C,6-11,245.0,"Oklahoma City, OK",Del City (OK),Kentucky
Ansley Almonor,15,SR,F,6-7,215.0,"Spring Valley, NY",Our Saviour Lutheran (NY); Montvale St. Joseph (NJ),Kentucky
Travis Perry,11,FR,G,6-1,188.0,"Eddyville, KY",Lyon County (KY),Kentucky
Collin Chandler,5,FR,G,6-5,202.0,"Farmington, UT",Farmington (UT),Kentucky
Trent Noah,9,FR,F,6-5,220.0,"Harlan, KY",Harlan County (KY),Kentucky
Kerr Kriisa,77,SR,G,6-3,180.0,"Tartu, Estonia",Å½algiris-2 Kaunas (Lithuania),Kentucky
Grant Darbyshire,13,JR,G,6-2,190.0,"Cincinnati, OH",Sycamore (OH),Kentucky
Walker Horn,21,JR,G,6-1,200.0,"Austin, TX",Westlake (TX),Kentucky
Zach Tow,20,JR,F,6-5,,"Madisonville, KY",North Hopkins (KY),Kentucky
Taelon Peter,2,SR,G,6-4,185.0,"Russellville, AR",Russellville HS,Liberty
Kaden Metheny,3,JR,G,5-11,180.0,"Morgantown, WV",Morgantown University HS,Liberty
Zach Cleveland,25,JR,F,6-7,210.0,"Normal, IL",Normal Community (IL),Liberty
Colin Porter,0,JR,G,5-9,145.0,"Ashland, KY",Blazer (KY),Liberty
Jayvon Maughmer,32,SR,F,6-6,205.0,"Chillicothe, OH",Chillicothe (OH),Liberty
Owen Aquino,8,JR,F,6-8,230.0,"Madrid, Spain",Real Madrid (Spain),Liberty
Brett Decker Jr.,4,FR,G,6-3,190.0,"Cecilia, KY",Central Hardin (KY),Liberty
Isaiah Ihnen,7,JR,F,6-9,210.0,"Doeblingen, Germany",IBA Munich (Germany),Liberty
Zander Yates,11,JR,F,6-7,206.0,"Germantown, TN",Houston HS,Liberty
Curtis Blair III,24,FR,G,6-6,210.0,"Richmond, VA",The Steward School (VA),Liberty
