Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
13.0,Jackson Porch,G,15,0,2.2,0.4,0.9,0.429,0.1,0.6,0.111,0.3,0.3,1.0,0.464,0.1,0.2,0.667,0.1,0.3,0.3,0.2,0.1,0.0,0.1,0.1,1.0,,Troy
14.0,Kameryn Mitchell,G,15,0,2.5,0.1,0.5,0.125,0.0,0.3,0.0,0.1,0.3,0.25,0.125,0.1,0.3,0.25,0.2,0.4,0.6,0.1,0.1,0.0,0.3,0.2,0.2,,Troy
,Team Totals,,34,34,200.0,25.0,57.5,0.436,7.7,25.8,0.297,17.4,31.6,0.548,0.502,15.6,21.8,0.718,13.9,24.7,38.6,13.9,9.4,4.6,13.5,16.5,73.4,,Troy
1.0,Aniwaniwa Tait-Jones,F,35,35,29.8,6.2,10.7,0.576,0.4,1.4,0.313,5.7,9.3,0.615,0.596,6.4,8.5,0.751,1.4,4.1,5.4,3.6,1.2,0.4,2.0,2.1,19.1,,UC-San Diego
2.0,Tyler McGhie,G,35,35,30.5,5.7,13.6,0.415,3.3,8.9,0.377,2.3,4.8,0.485,0.538,2.0,2.3,0.863,0.3,3.8,4.1,1.7,0.9,0.2,0.7,1.3,16.6,,UC-San Diego
3.0,Hayden Gray,G,35,35,32.2,4.2,8.8,0.479,1.8,4.4,0.418,2.4,4.4,0.539,0.583,0.9,1.4,0.688,0.7,2.4,3.1,3.3,3.1,0.2,1.3,1.7,11.2,,UC-San Diego
4.0,Nordin Kapic,F,34,33,25.0,3.4,8.7,0.39,1.6,5.2,0.307,1.8,3.5,0.513,0.481,2.4,3.1,0.748,1.5,3.7,5.2,1.2,0.8,0.4,1.3,2.6,10.7,,UC-San Diego
5.0,Justin Rochelin,G,35,0,19.3,2.5,5.4,0.463,1.0,3.0,0.34,1.5,2.3,0.622,0.559,0.6,0.9,0.688,0.7,2.8,3.5,0.7,0.7,0.3,0.8,2.9,6.6,,UC-San Diego
6.0,Chris Howell,G,35,35,29.0,1.8,4.1,0.448,0.6,1.8,0.328,1.2,2.3,0.544,0.521,1.4,1.8,0.75,1.1,2.8,3.8,3.0,2.2,0.3,1.1,2.9,5.6,,UC-San Diego
7.0,Aidan Burke,G,35,0,13.0,1.5,3.3,0.44,1.1,2.8,0.392,0.4,0.5,0.684,0.603,0.1,0.2,0.571,0.4,0.9,1.3,0.5,0.4,0.0,0.3,0.8,4.1,,UC-San Diego
8.0,Milos Vicentic,F,1,0,20.0,1.0,6.0,0.167,1.0,1.0,1.0,0.0,5.0,0.0,0.25,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,,UC-San Diego
9.0,Cade Pendleton,F,20,0,5.4,1.0,2.1,0.452,0.7,1.6,0.452,0.3,0.6,0.455,0.619,0.1,0.1,1.0,0.4,0.6,1.0,0.2,0.2,0.1,0.2,0.5,2.7,,UC-San Diego
10.0,Maximo Milovich,C,33,2,13.3,1.0,1.6,0.604,0.1,0.2,0.25,0.9,1.4,0.667,0.623,0.3,0.6,0.5,1.0,1.8,2.8,0.8,0.2,0.2,0.3,1.4,2.3,,UC-San Diego
11.0,Jasen Brooks,G,18,0,4.3,0.8,1.9,0.4,0.5,1.6,0.321,0.3,0.4,0.714,0.529,0.1,0.1,1.0,0.2,0.6,0.8,0.4,0.2,0.1,0.1,0.6,2.1,,UC-San Diego
12.0,Yaqub Mir,G,3,0,5.7,0.7,1.7,0.4,0.3,1.3,0.25,0.3,0.3,1.0,0.5,0.3,0.7,0.5,0.0,0.7,0.7,0.7,0.7,0.0,0.0,0.3,2.0,,UC-San Diego
13.0,Ryder Elisaldez,G,20,0,5.4,0.4,0.8,0.5,0.2,0.5,0.333,0.3,0.4,0.714,0.594,0.1,0.1,0.5,0.3,0.4,0.7,0.8,0.2,0.0,0.2,0.6,1.0,,UC-San Diego
,Team Totals,,35,35,200.0,27.3,58.8,0.464,10.7,29.6,0.362,16.5,29.2,0.566,0.555,14.1,18.9,0.746,9.1,24.9,34.0,15.7,9.9,2.1,8.7,16.5,79.3,,UC-San Diego
1.0,Tyler Bilodeau,F,33,33,26.5,5.2,10.5,0.496,1.2,2.9,0.4,4.0,7.6,0.532,0.551,2.0,2.8,0.717,1.5,3.1,4.6,1.5,0.9,0.3,1.2,2.2,13.5,,UCLA
2.0,Eric Dailey Jr.,F,33,33,23.5,4.2,8.4,0.507,1.0,2.7,0.378,3.2,5.6,0.57,0.569,1.9,2.6,0.721,1.2,2.7,4.0,1.4,1.3,0.2,1.0,2.7,11.4,,UCLA
3.0,Sebastian Mack,G,34,1,21.0,3.0,7.0,0.426,0.6,2.1,0.314,2.3,4.9,0.473,0.473,3.0,4.0,0.743,0.3,1.8,2.1,1.7,0.9,0.0,1.4,1.7,9.6,,UCLA
4.0,Skyy Clark,G,34,34,26.3,2.9,6.4,0.458,1.4,3.6,0.397,1.5,2.8,0.537,0.569,1.2,1.6,0.778,0.8,2.0,2.8,2.7,1.3,0.1,1.1,2.2,8.5,,UCLA
5.0,Kobe Johnson,F,34,34,29.0,2.9,6.1,0.464,1.1,3.1,0.362,1.7,3.1,0.567,0.555,1.1,1.6,0.704,1.8,4.1,5.9,2.9,1.6,0.3,1.5,2.9,7.9,,UCLA
6.0,Dylan Andrews,G,32,29,24.8,2.7,7.0,0.379,1.1,3.3,0.327,1.6,3.8,0.425,0.455,0.5,0.7,0.696,0.3,1.2,1.6,3.4,0.6,0.1,1.7,0.9,6.9,,UCLA
7.0,Aday Mara,C,33,1,13.1,2.6,4.4,0.59,0.0,0.0,,2.6,4.4,0.59,0.59,1.2,2.2,0.577,1.8,2.2,4.0,1.0,0.2,1.6,0.8,1.4,6.4,,UCLA
8.0,Lazar Stefanovic,G,34,5,16.4,1.7,4.1,0.404,0.7,2.2,0.32,1.0,1.9,0.5,0.489,0.6,0.6,0.955,0.7,1.2,1.9,0.9,0.5,0.0,0.5,1.3,4.7,,UCLA
9.0,Trent Perry,G,32,0,11.3,1.0,2.6,0.369,0.4,1.1,0.343,0.6,1.5,0.388,0.44,1.4,1.6,0.863,0.5,1.1,1.7,0.7,0.6,0.1,0.5,1.1,3.7,,UCLA
10.0,William Kyle III,F,32,0,9.8,1.2,1.7,0.704,0.0,0.0,,1.2,1.7,0.704,0.704,0.5,1.3,0.395,0.8,1.0,1.8,0.4,0.2,0.6,0.4,1.1,2.9,,UCLA
11.0,Dominick Harris,G,11,0,7.4,0.4,2.4,0.154,0.2,1.6,0.111,0.2,0.7,0.25,0.192,0.2,0.2,1.0,0.2,0.5,0.6,0.1,0.4,0.0,0.3,0.5,1.1,,UCLA
12.0,Jack Seidler,G,7,0,2.1,0.1,0.6,0.25,0.0,0.3,0.0,0.1,0.3,0.5,0.25,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,,UCLA
,Team Totals,,34,34,200.0,26.7,57.6,0.464,7.4,21.0,0.352,19.3,36.6,0.528,0.528,13.2,18.6,0.71,10.8,21.9,32.6,16.3,8.1,3.1,10.6,17.2,74.2,,UCLA
1.0,Liam McNeeley,F,27,26,32.1,4.4,11.5,0.381,1.7,5.4,0.317,2.7,6.1,0.436,0.455,4.1,4.7,0.866,0.9,5.0,6.0,2.3,0.6,0.2,1.9,2.0,14.5,,UConn
